"sample","value"
"sample_1876",12.75
"sample_1877",17.042
"sample_1878",16.267
"sample_1879",15.55
"sample_188",12.125
"sample_1880",20.417
"sample_1881",13.05
"sample_1882",14.25
"sample_1883",13.6
"sample_1884",13.95
"sample_1885",16.125
"sample_1886",18
"sample_1887",16.083
"sample_1888",13.5
"sample_1889",17.5
"sample_189",12
"sample_1890",14.833
"sample_1891",13.75
"sample_1892",13.333
"sample_1893",14.625
"sample_1894",11.7
"sample_1895",14.375
"sample_1896",15.875
"sample_1897",9.667
"sample_1898",13.433
"sample_1899",15.25
"sample_19",14.208
"sample_190",13.4
"sample_1900",14.5
"sample_1901",15.5
"sample_1902",18.5
"sample_1903",15.5
"sample_1904",15.333
"sample_1905",9.6
"sample_1906",13.875
"sample_1907",15.9
"sample_1908",13.667
"sample_1909",11.083
"sample_191",11.5
"sample_1910",13.5
"sample_1911",14.5
"sample_1912",15.083
"sample_1913",15.333
"sample_1914",14.05
"sample_1915",13.5
"sample_1916",13.375
"sample_1917",18.25
"sample_1918",15.2
"sample_1919",9.75
"sample_192",11.792
"sample_1921",25.5
"sample_1922",25.333
"sample_1923",18.75
"sample_1924",18.833
"sample_1925",12
"sample_1926",20
"sample_1927",16.125
"sample_1928",16
"sample_1929",17
"sample_193",12.5
"sample_1930",11.833
"sample_1931",18
"sample_1932",12.767
"sample_1933",10.8
"sample_1934",14.75
"sample_1935",16.375
"sample_1936",17.5
"sample_1937",17
"sample_1938",15.875
"sample_1939",15.375
"sample_194",12.033
"sample_1940",19
"sample_1941",14.267
"sample_1942",14.625
"sample_1943",16.5
"sample_1944",15.5
"sample_1945",13.75
"sample_1946",14.875
"sample_1947",13.75
"sample_1948",14.667
"sample_1949",19.667
"sample_195",14.167
"sample_1950",13.875
"sample_1951",11.75
"sample_1952",11.875
"sample_1953",16.375
"sample_1954",13.375
"sample_1955",14.65
"sample_1956",12
"sample_1957",13.8
"sample_1958",16
"sample_1959",13.667
"sample_196",14.542
"sample_1960",21.4
"sample_1962",13.917
"sample_1963",16.458
"sample_1964",14.567
"sample_1965",14.75
"sample_1966",13.958
"sample_1967",15.5
"sample_1968",13.75
"sample_1969",20.333
"sample_197",14.125
"sample_1970",15.167
"sample_1971",14.8
"sample_1972",13.3
"sample_1973",18.708
"sample_1974",15.5
"sample_1975",14.875
"sample_1976",20.5
"sample_1977",14.6
"sample_1978",20
"sample_1979",14.85
"sample_198",12.625
"sample_1980",14.833
"sample_1981",17.917
"sample_1982",16.45
"sample_1984",18.5
"sample_1985",17
"sample_1986",22.667
"sample_1987",15.533
"sample_1988",21.667
"sample_1989",18
"sample_199",12.533
"sample_1990",14.667
"sample_1991",18.667
"sample_1992",12.5
"sample_1993",18.667
"sample_1994",15.5
"sample_1995",14.667
"sample_1996",14.633
"sample_1997",16.458
"sample_1998",19.25
"sample_2",15.6
"sample_20",12.25
"sample_200",12
"sample_201",12.75
"sample_202",12.75
"sample_203",19.292
"sample_204",12.875
"sample_205",11.25
"sample_206",10.7
"sample_207",10.875
"sample_208",10.25
"sample_209",12.25
"sample_21",14.5
"sample_210",13.2
"sample_211",13.9
"sample_212",11.5
"sample_213",11.5
"sample_214",12.833
"sample_215",11.9
"sample_216",13.533
"sample_217",11.125
"sample_218",12.667
"sample_219",11.95
"sample_22",12.25
"sample_220",11.667
"sample_221",13.708
"sample_222",13.167
"sample_223",13
"sample_224",12
"sample_225",12.625
"sample_226",18.5
"sample_227",10.375
"sample_228",11.7
"sample_229",12.667
"sample_23",11.167
"sample_230",17.167
"sample_231",12.35
"sample_232",11.8
"sample_233",13.633
"sample_234",12.958
"sample_235",14.333
"sample_236",10.35
"sample_237",11.25
"sample_238",13.25
"sample_239",13.467
"sample_240",14.3
"sample_241",14.4
"sample_242",15.2
"sample_243",13.5
"sample_244",11.625
"sample_245",11.467
"sample_246",12.3
"sample_247",11.75
"sample_248",11.5
"sample_249",10.55
"sample_25",10.95
"sample_250",11.875
"sample_251",11.1
"sample_252",10.583
"sample_253",10.25
"sample_254",11.625
"sample_255",13.833
"sample_256",10.125
"sample_257",12.9
"sample_258",13.967
"sample_259",10.133
"sample_26",10
"sample_260",12.833
"sample_261",11.5
"sample_262",14.35
"sample_263",12.417
"sample_264",14.375
"sample_265",12.667
"sample_266",11.75
"sample_267",11.833
"sample_268",13.375
"sample_269",13.5
"sample_27",12.5
"sample_270",12.875
"sample_271",14.4
"sample_272",12.85
"sample_273",13.875
"sample_274",12.5
"sample_275",14.75
"sample_276",12.625
"sample_277",12.2
"sample_278",13.375
"sample_279",15.333
"sample_28",13.208
"sample_280",13
"sample_281",13.25
"sample_282",15.25
"sample_283",11.433
"sample_284",12.25
"sample_285",11.125
"sample_286",17.75
"sample_287",14.6
"sample_288",13.75
"sample_289",15.125
"sample_29",12.367
"sample_290",11.875
"sample_291",12.417
"sample_292",11.75
"sample_293",12.125
"sample_294",12.417
"sample_295",14.667
"sample_296",12.95
"sample_297",13.375
"sample_298",13.125
"sample_299",18.375
"sample_3",14.208
"sample_30",11.25
"sample_300",12.875
"sample_301",14.167
"sample_302",12.375
"sample_303",13.333
"sample_304",12.1
"sample_305",13.292
"sample_306",14.333
"sample_307",13
"sample_308",12.375
"sample_309",14.567
"sample_31",12.375
"sample_310",11.15
"sample_311",15
"sample_312",13.067
"sample_313",11.125
"sample_314",11.417
"sample_315",12.967
"sample_316",14.083
"sample_317",11.433
"sample_318",12.833
"sample_319",11.8
"sample_32",13.3
"sample_320",15.25
"sample_321",13.267
"sample_322",13.15
"sample_323",14.417
"sample_324",12.15
"sample_325",12.917
"sample_326",10.75
"sample_327",15.208
"sample_328",11.375
"sample_329",11.5
"sample_33",15.75
"sample_330",12.6
"sample_331",12.8
"sample_332",12.833
"sample_333",12.875
"sample_334",15
"sample_335",12.9
"sample_336",13.667
"sample_337",11.3
"sample_338",10.85
"sample_339",11.5
"sample_34",13.875
"sample_340",12
"sample_341",10.933
"sample_342",13.292
"sample_343",15
"sample_344",12.958
"sample_345",13.333
"sample_346",20.4
"sample_347",11.45
"sample_348",16
"sample_349",15.5
"sample_35",13.1
"sample_350",15.708
"sample_351",16.875
"sample_352",14.75
"sample_353",14.65
"sample_354",12.875
"sample_355",11.75
"sample_356",13.467
"sample_357",13.45
"sample_358",17.067
"sample_359",11.95
"sample_36",14
"sample_360",15.5
"sample_361",15.125
"sample_362",13.125
"sample_363",15.333
"sample_364",13.375
"sample_365",11.75
"sample_366",12.208
"sample_367",12.55
"sample_368",11.55
"sample_369",14.15
"sample_37",12.375
"sample_370",14.917
"sample_371",12.958
"sample_372",11.625
"sample_373",13.417
"sample_374",14
"sample_375",11.625
"sample_376",11.05
"sample_378",13.208
"sample_379",11
"sample_38",13.583
"sample_380",13.375
"sample_381",13.25
"sample_382",13.35
"sample_383",11.917
"sample_384",11.4
"sample_385",11.25
"sample_386",11.875
"sample_387",11
"sample_388",16
"sample_389",11.75
"sample_39",13.2
"sample_390",13.667
"sample_391",11.633
"sample_392",11.5
"sample_393",11.7
"sample_394",14.15
"sample_395",11.875
"sample_396",11.75
"sample_397",14.733
"sample_398",15.5
"sample_399",12.625
"sample_4",14.25
"sample_40",12.467
"sample_400",14.2
"sample_401",11.35
"sample_402",14.233
"sample_403",14.875
"sample_404",12.833
"sample_405",12
"sample_406",18.7
"sample_407",13.867
"sample_408",11.5
"sample_409",13
"sample_41",13.5
"sample_410",13.9
"sample_411",10.625
"sample_412",12.833
"sample_413",12.333
"sample_414",13.5
"sample_415",12.708
"sample_416",11.65
"sample_417",14.5
"sample_418",14.917
"sample_419",13.75
"sample_42",16
"sample_420",13.3
"sample_421",13.85
"sample_422",14.9
"sample_423",14.333
"sample_424",13.667
"sample_425",16.375
"sample_426",11.75
"sample_427",11.75
"sample_428",12.15
"sample_429",14.7
"sample_43",16.5
"sample_430",11.375
"sample_431",10.875
"sample_432",14.792
"sample_433",11
"sample_434",12
"sample_435",11.5
"sample_436",13.45
"sample_437",13.583
"sample_438",11.875
"sample_439",13.375
"sample_44",14
"sample_440",13.5
"sample_441",13.167
"sample_442",14
"sample_443",15.583
"sample_444",12.75
"sample_445",11.875
"sample_446",10.35
"sample_447",11
"sample_448",12.5
"sample_449",15.5
"sample_45",18.65
"sample_450",12.792
"sample_451",11.5
"sample_452",14.6
"sample_453",11.95
"sample_454",13.917
"sample_455",12.375
"sample_457",13.5
"sample_458",13.5
"sample_459",10.625
"sample_46",19.5
"sample_460",15.633
"sample_461",12.167
"sample_462",13.75
"sample_463",13.533
"sample_464",13.458
"sample_465",14.633
"sample_466",14.75
"sample_467",13.625
"sample_468",12.75
"sample_469",13.5
"sample_47",15.875
"sample_470",12.75
"sample_471",10.733
"sample_472",15.875
"sample_473",12.042
"sample_474",13.567
"sample_475",11.25
"sample_476",13.5
"sample_477",14.708
"sample_478",10.625
"sample_479",15.233
"sample_48",14.867
"sample_480",13.25
"sample_481",11.5
"sample_482",11.125
"sample_483",13.5
"sample_484",13.867
"sample_485",10.85
"sample_486",10.45
"sample_487",10.9
"sample_488",10.85
"sample_489",11.35
"sample_49",13.583
"sample_490",11
"sample_491",12.625
"sample_492",12.867
"sample_493",12.5
"sample_494",10.5
"sample_495",12.25
"sample_496",11.625
"sample_497",13.05
"sample_498",12.633
"sample_499",12.167
"sample_5",10.375
"sample_50",13.333
"sample_500",11.6
"sample_501",12.25
"sample_502",11.75
"sample_503",10.333
"sample_504",12.25
"sample_505",12.5
"sample_506",13.583
"sample_507",14
"sample_508",14.167
"sample_509",12.65
"sample_51",15.958
"sample_510",13.083
"sample_511",13.8
"sample_512",16.3
"sample_513",12.55
"sample_514",13.25
"sample_515",13.15
"sample_516",12.5
"sample_517",12.875
"sample_518",13.292
"sample_519",13.85
"sample_52",15.667
"sample_520",14.467
"sample_521",11.95
"sample_522",10.3
"sample_523",11.75
"sample_524",14.458
"sample_525",15.292
"sample_526",15.75
"sample_527",13.633
"sample_528",12.533
"sample_529",11.25
"sample_53",12.75
"sample_530",12.875
"sample_531",13.458
"sample_532",12.567
"sample_533",13.4
"sample_534",13.65
"sample_535",14.15
"sample_536",17.6
"sample_537",16.267
"sample_538",10.65
"sample_539",14.875
"sample_54",12.333
"sample_540",10.625
"sample_541",10.875
"sample_542",11.875
"sample_543",12.65
"sample_544",13.75
"sample_545",13.875
"sample_546",12.5
"sample_547",11.35
"sample_548",11.3
"sample_549",13.75
"sample_55",15.458
"sample_550",14
"sample_551",14
"sample_552",12.833
"sample_553",14.125
"sample_554",13.733
"sample_555",13.625
"sample_556",11.75
"sample_557",14.375
"sample_558",16.333
"sample_559",12.625
"sample_56",15.083
"sample_560",13.25
"sample_561",11.35
"sample_562",12.55
"sample_563",16.2
"sample_564",13
"sample_565",20.93
"sample_566",23.367
"sample_567",19.467
"sample_568",18.038
"sample_569",12
"sample_57",16.75
"sample_570",13.958
"sample_571",11.75
"sample_572",12.917
"sample_574",14.55
"sample_575",11.45
"sample_576",16.542
"sample_577",11.65
"sample_578",14.458
"sample_579",12
"sample_58",14
"sample_580",12.667
"sample_581",12.083
"sample_582",11.5
"sample_583",13.267
"sample_584",12.333
"sample_585",13.5
"sample_586",20
"sample_587",10.667
"sample_588",11.167
"sample_589",14.25
"sample_59",10.833
"sample_590",11.15
"sample_591",12.375
"sample_592",11.375
"sample_593",13.3
"sample_594",12.25
"sample_595",11.5
"sample_596",14.958
"sample_597",10.3
"sample_598",12.542
"sample_599",10.9
"sample_6",14.5
"sample_60",15.5
"sample_600",9.55
"sample_601",12.5
"sample_602",14
"sample_603",10.875
"sample_604",11.75
"sample_605",11.083
"sample_606",11.75
"sample_607",14.6
"sample_608",11.75
"sample_609",12
"sample_61",13.125
"sample_610",11.3
"sample_611",11.625
"sample_612",11.5
"sample_613",11.85
"sample_614",11.733
"sample_615",11.333
"sample_616",12.875
"sample_617",12.667
"sample_619",12.3
"sample_62",15.85
"sample_620",18.1
"sample_621",14.8
"sample_622",11.583
"sample_623",11.85
"sample_624",14
"sample_625",11.233
"sample_626",11
"sample_627",11
"sample_628",8.6
"sample_63",13.233
"sample_631",11.55
"sample_632",12
"sample_633",12.625
"sample_634",10.875
"sample_635",13.917
"sample_636",12
"sample_637",11.733
"sample_638",11
"sample_639",11.75
"sample_64",11.4
"sample_640",12.533
"sample_641",17.7
"sample_642",14.875
"sample_643",13.05
"sample_644",12.833
"sample_645",11.75
"sample_646",15.7
"sample_647",14
"sample_648",10.167
"sample_649",13.233
"sample_65",11.4
"sample_650",11.433
"sample_651",14.833
"sample_652",10.8
"sample_653",10.55
"sample_654",12.375
"sample_655",11.875
"sample_656",16.875
"sample_657",11.4
"sample_658",13.733
"sample_659",13.8
"sample_66",12.25
"sample_660",12.467
"sample_661",13
"sample_662",10.35
"sample_663",12.7
"sample_664",11.5
"sample_665",11.55
"sample_666",13.5
"sample_667",14.292
"sample_668",14.4
"sample_669",12.208
"sample_67",14.7
"sample_670",12.7
"sample_671",12
"sample_672",11.9
"sample_673",13.083
"sample_674",13.5
"sample_675",10.95
"sample_676",10.75
"sample_677",11.75
"sample_678",12.5
"sample_679",10.875
"sample_68",11.833
"sample_680",11.067
"sample_681",11.875
"sample_682",13.15
"sample_683",11.45
"sample_684",14.25
"sample_685",12.6
"sample_686",14.708
"sample_687",12
"sample_688",13.167
"sample_689",11.75
"sample_69",12.75
"sample_690",10.75
"sample_691",10.4
"sample_692",12.1
"sample_693",12.5
"sample_694",11.5
"sample_695",11.583
"sample_696",12.25
"sample_697",11.25
"sample_698",12.567
"sample_699",12.35
"sample_7",12.958
"sample_70",13
"sample_700",12.708
"sample_701",13.533
"sample_702",11.917
"sample_703",11.6
"sample_704",13.5
"sample_705",12.333
"sample_706",14.5
"sample_707",12.833
"sample_708",11.35
"sample_709",13.25
"sample_71",15.267
"sample_710",13.292
"sample_711",11.75
"sample_712",11
"sample_713",9.45
"sample_714",12.667
"sample_715",17.25
"sample_716",12.667
"sample_717",12.7
"sample_718",12.417
"sample_719",11.1
"sample_72",10.367
"sample_720",12
"sample_721",14.333
"sample_722",10.7
"sample_723",11.35
"sample_724",10.875
"sample_725",28
"sample_726",15.083
"sample_727",14.208
"sample_728",13.55
"sample_729",14.067
"sample_73",12.875
"sample_730",13.458
"sample_731",12.533
"sample_732",13.1
"sample_733",13.042
"sample_734",33
"sample_735",16.15
"sample_736",12.875
"sample_737",12.125
"sample_738",11.2
"sample_739",12.1
"sample_74",13.533
"sample_740",12.125
"sample_741",17
"sample_742",12.033
"sample_743",20.375
"sample_744",14.567
"sample_745",15.625
"sample_746",11.967
"sample_747",12.125
"sample_748",11.875
"sample_749",16.3
"sample_75",10.9
"sample_750",11.5
"sample_751",15.6
"sample_752",8.65
"sample_753",10.2
"sample_754",13.25
"sample_755",15.167
"sample_756",12.867
"sample_757",14.45
"sample_758",13.267
"sample_759",12.125
"sample_76",12
"sample_760",12.333
"sample_761",13.167
"sample_762",13
"sample_763",12.3
"sample_764",13.333
"sample_765",12.75
"sample_766",16.55
"sample_767",13.375
"sample_768",12.8
"sample_769",11.9
"sample_77",14
"sample_770",11.083
"sample_771",10.75
"sample_772",12.5
"sample_773",13.083
"sample_774",17.542
"sample_775",13.133
"sample_776",11.833
"sample_777",12
"sample_778",12.2
"sample_779",11.967
"sample_78",11.55
"sample_780",12.767
"sample_781",12.2
"sample_782",12.667
"sample_783",12.958
"sample_784",12.45
"sample_785",11.25
"sample_786",12.15
"sample_787",13.25
"sample_788",14.708
"sample_789",12.367
"sample_79",13.167
"sample_790",14.917
"sample_791",15.875
"sample_792",11.5
"sample_794",14.5
"sample_795",12
"sample_796",12.583
"sample_797",12
"sample_798",12.533
"sample_799",13.708
"sample_8",10.583
"sample_80",11.7
"sample_800",14.25
"sample_801",12.25
"sample_802",14.875
"sample_803",13.133
"sample_804",14.292
"sample_805",11.7
"sample_806",13.533
"sample_807",12.233
"sample_808",12.567
"sample_809",11.433
"sample_81",10.5
"sample_810",9.85
"sample_811",11.375
"sample_812",11.25
"sample_813",11.167
"sample_814",11.35
"sample_815",11.7
"sample_816",12.75
"sample_817",12.633
"sample_818",13.433
"sample_819",12.633
"sample_82",12.55
"sample_820",12.083
"sample_821",10.65
"sample_822",14
"sample_823",14.75
"sample_824",12.833
"sample_825",11.917
"sample_826",13.067
"sample_827",13
"sample_828",10.85
"sample_829",12.25
"sample_83",12.542
"sample_830",13.375
"sample_831",12.625
"sample_832",14.333
"sample_833",15.208
"sample_834",18
"sample_835",11.95
"sample_836",12.05
"sample_837",13.5
"sample_838",11.25
"sample_839",13.417
"sample_84",13.667
"sample_840",12.967
"sample_841",10.6
"sample_842",13.417
"sample_843",11.95
"sample_844",12.25
"sample_845",13.35
"sample_846",9.875
"sample_847",12.25
"sample_848",11.95
"sample_849",12
"sample_85",13.375
"sample_850",11.875
"sample_851",13.125
"sample_852",12.8
"sample_853",12.6
"sample_854",13.35
"sample_855",13.033
"sample_856",10.25
"sample_857",13.542
"sample_858",12.45
"sample_859",13.5
"sample_86",10.792
"sample_860",11.833
"sample_861",12.5
"sample_862",12.875
"sample_863",12.75
"sample_864",12.625
"sample_865",13.367
"sample_866",12.125
"sample_867",12.833
"sample_868",11.375
"sample_869",10.55
"sample_87",13
"sample_870",12.1
"sample_871",9.85
"sample_872",17.5
"sample_873",12.65
"sample_874",12.95
"sample_875",11.833
"sample_876",13.667
"sample_877",10.75
"sample_878",11.75
"sample_879",10
"sample_88",10
"sample_880",14.3
"sample_881",13.367
"sample_882",11.25
"sample_883",12.875
"sample_884",16.9
"sample_885",10.75
"sample_886",17.967
"sample_887",11.5
"sample_888",10.75
"sample_889",11.55
"sample_89",13.3
"sample_890",12.667
"sample_891",11
"sample_892",13.417
"sample_893",10.667
"sample_894",18.583
"sample_895",19.75
"sample_896",16.6
"sample_897",12.958
"sample_898",11
"sample_899",14.867
"sample_9",10.333
"sample_90",11.65
"sample_900",18.5
"sample_901",14.1
"sample_902",13.208
"sample_903",11.4
"sample_904",12.458
"sample_905",13.167
"sample_906",14.25
"sample_907",11.55
"sample_908",12.75
"sample_909",13.125
"sample_91",10.083
"sample_910",12.125
"sample_911",12.933
"sample_912",12.8
"sample_913",10.375
"sample_914",12
"sample_915",16.5
"sample_916",9.4
"sample_917",14.208
"sample_918",14.625
"sample_919",14.833
"sample_92",13.417
"sample_920",10.533
"sample_921",13.167
"sample_922",11.85
"sample_923",11.125
"sample_924",12.75
"sample_925",12.833
"sample_926",13.667
"sample_927",11.3
"sample_928",11.4
"sample_929",13.083
"sample_93",11.167
"sample_930",8.85
"sample_931",12
"sample_932",10.75
"sample_933",14.45
"sample_934",9.875
"sample_935",14
"sample_936",13.125
"sample_937",11.5
"sample_938",13.15
"sample_939",16.625
"sample_94",13
"sample_940",13.083
"sample_941",12.15
"sample_942",15.542
"sample_943",8.75
"sample_944",12.917
"sample_945",12.367
"sample_946",13.75
"sample_947",14.433
"sample_948",12.75
"sample_949",10.875
"sample_95",10.167
"sample_950",13.958
"sample_951",13.125
"sample_952",11.15
"sample_953",15.85
"sample_954",12.5
"sample_955",12.083
"sample_956",14.708
"sample_957",13.208
"sample_958",13.5
"sample_959",10.8
"sample_960",14.867
"sample_961",12.25
"sample_962",12.125
"sample_963",11.333
"sample_964",13.667
"sample_965",10.75
"sample_966",11
"sample_967",14.05
"sample_968",11.583
"sample_969",11.75
"sample_97",11.7
"sample_970",12
"sample_971",12.45
"sample_972",14.667
"sample_973",11.5
"sample_974",9.75
"sample_975",10.7
"sample_976",12.083
"sample_977",12.05
"sample_978",12.333
"sample_979",13.625
"sample_98",12.333
"sample_980",10.917
"sample_981",12.375
"sample_982",10.45
"sample_983",10
"sample_984",12.567
"sample_985",9
"sample_986",10.95
"sample_987",9.833
"sample_988",11.583
"sample_989",15.5
"sample_99",10.633
"sample_990",11.15
"sample_991",11
"sample_992",12.167
"sample_993",10.5
"sample_994",12.333
"sample_995",13.2
"sample_996",12
"sample_997",11.458
"sample_998",11.583
"sample_999",13.7
